|WNJT-FM     |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |TRENTON                  |NJ |US |BLED   -19961001KE  |0.     kW |0.11   kW |0.0     |210.0   |48488      |N |40 |16 |58.00 |W |74  |41 |11.00 |NEW YORK PUBLIC RADIO                                                       |  13.91 km |   8.64 mi |277.39 deg |0.0    m|244.   m|-         |-       |1045124 |226.   m|233490    |
|W276AQ      |103.1 MHz |FX |276 |DA  |-                   |D  |-  |APP    |FORT LEE                 |NJ |US |BPFT   -20180612ABE |0.095  kW |0.095  kW |0.0     |0.0     |46437      |N |40 |51 |15.00 |W |73  |59 |0.00  |BRIDGELIGHT, LLC                                                            |  79.70 km |  49.52 mi | 34.80 deg |161.   m|161.0  m|133134    |230.    |1261660 |76.    m|1786711   |
|WPRB        |103.3 MHz |FM |277 |ND  |-                   |B  |-  |LIC    |PRINCETON                |NJ |US |BLH    -20070221AAV |14.    kW |14.    kW |222.0   |222.0   |53567      |N |40 |16 |58.00 |W |74  |41 |11.00 |PRINCETON BROADCASTING SERVICE, INC.                                        |  13.91 km |   8.64 mi |277.39 deg |257.   m|257.0  m|-         |-       |1045124 |238.4  m|1171263   |
|WPRB        |103.3 MHz |FA |277 |ND  |-                   |B  |-  |USE    |PRINCETON                |NJ |US |-      --           |-      kW |-      kW |-       |-       |53567      |N |40 |20 |54.00 |W |74  |39 |47.00 |-                                                                           |  14.87 km |   9.24 mi |307.63 deg |-      m|-      m|-         |-       |-       |0.     m|295085    |
|WKTU        |103.5 MHz |FM |278 |ND  |-                   |B  |-  |LIC    |LAKE SUCCESS             |NY |US |BLH    -20030604ACH |6.     kW |6.     kW |415.0   |415.0   |6595       |N |40 |44 |54.00 |W |73  |59 |10.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  70.28 km |  43.67 mi | 40.18 deg |429.   m|429.0  m|-         |-       |1007048 |413.   m|685429    |
|WKTU        |103.5 MHz |FS |278 |ND  |-                   |B  |-  |LIC    |LAKE SUCCESS             |NY |US |BLH    -19940302KC  |1.9    kW |1.9    kW |174.0   |174.0   |6595       |N |40 |45 |48.00 |W |73  |58 |55.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  71.78 km |  44.60 mi | 39.53 deg |191.   m|191.0  m|-         |-       |-       |168.   m|195402    |
|WKTU        |103.5 MHz |FS |278 |ND  |-                   |B  |-  |LIC    |LAKE SUCCESS             |NY |US |BXMLH  -20021126AAT |17.    kW |17.    kW |259.0   |259.0   |6595       |N |40 |45 |22.00 |W |73  |59 |12.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  70.91 km |  44.06 mi | 39.70 deg |274.   m|274.0  m|-         |-       |1238745 |259.   m|617070    |
|WKTU        |103.5 MHz |FS |278 |ND  |-                   |B  |-  |LIC    |LAKE SUCCESS             |NY |US |BXLH   -20040719AAP |13.    kW |13.    kW |281.0   |281.0   |6595       |N |40 |45 |22.00 |W |73  |59 |12.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  70.91 km |  44.06 mi | 39.70 deg |297.   m|297.0  m|-         |-       |1238745 |281.   m|1000460   |
|WKTU        |103.5 MHz |FS |278 |ND  |-                   |B  |-  |LIC    |LAKE SUCCESS             |NY |US |BXLH   -20171013AAT |7.1    kW |7.1    kW |386.7   |386.7   |6595       |N |40 |44 |53.60 |W |73  |59 |10.50 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1769232   |
|WKTU        |103.5 MHz |FA |278 |ND  |-                   |B  |-  |USE    |LAKE SUCCESS             |NY |US |-      --           |-      kW |-      kW |-       |-       |6595       |N |40 |42 |40.00 |W |74  |0  |49.00 |-                                                                           |  65.63 km |  40.78 mi | 40.99 deg |-      m|-      m|-         |-       |-       |0.     m|295140    |
|W279CN      |103.7 MHz |FX |279 |DA  |-                   |D  |-  |LIC    |CHERRY HILL              |NJ |US |BLFT   -20161031AAC |0.009  kW |0.009  kW |78.6    |0.0     |141368     |N |39 |51 |33.00 |W |74  |56 |51.00 |PRIORITY RADIO, INC.                                                        |  57.91 km |  35.98 mi |218.61 deg |98.    m|98.0   m|115935    |0.      |1038530 |52.    m|1743092   |
|NEW         |103.7 MHz |FX |279 |DA  |-                   |D  |-  |APP    |BURLINGTON               |NJ |US |BNPFT  -20180131ACY |0.2    kW |0.     kW |0.0     |0.0     |203145     |N |40 |4  |53.00 |W |74  |47 |51.00 |REAL LIFE BROADCASTING                                                      |  31.08 km |  19.31 mi |228.48 deg |74.    m|0.0    m|131515    |0.      |-       |54.    m|1777873   |
|W260BD      |103.7 MHz |FX |279 |DA  |-                   |D  |-  |CP     |RED HILL                 |PA |US |BPFT   -20160129AOQ |0.01   kW |0.03   kW |0.0     |0.0     |141465     |N |40 |20 |33.00 |W |75  |27 |31.00 |FOUR RIVERS COMMUNITY BROADCASTING CORP.                                    |  79.88 km |  49.64 mi |276.36 deg |178.   m|178.0  m|123384    |330.    |-       |44.    m|1719937   |
|W279DM      |103.7 MHz |FX |279 |DA  |-                   |D  |-  |CP     |EASTON                   |PA |US |BNPFT  -20171205ABT |0.25   kW |0.25   kW |0.0     |0.0     |201342     |N |40 |42 |30.00 |W |75  |12 |59.00 |CONNOISSEUR MEDIA LICENSES, LLC                                             |  76.47 km |  47.51 mi |310.21 deg |259.   m|259.0  m|130188    |0.      |1031820 |107.   m|1772378   |
|WPDI        |103.9 MHz |FM |280 |ND  |-                   |D  |-  |LIC    |HAZLET                   |NJ |US |BLED   -20130702ACK |0.01   kW |0.01   kW |87.0    |87.0    |70644      |N |40 |22 |55.20 |W |74  |12 |39.20 |CANTICO NUEVO MINISTRY, INC.                                                |  29.54 km |  18.36 mi | 64.16 deg |112.2  m|112.2  m|-         |-       |1066153 |30.5   m|1561694   |
|W280GA      |103.9 MHz |FX |280 |DA  |-                   |D  |-  |CP     |EDISON                   |NJ |US |BNPFT  -20180418AFR |0.148  kW |0.148  kW |0.0     |0.0     |202126     |N |40 |30 |35.00 |W |74  |17 |18.00 |NJ BROADCASTING, LLC                                                        |  33.59 km |  20.87 mi | 36.42 deg |73.    m|73.0   m|132644    |0.      |1061413 |70.    m|1783915   |
|WPHI-FM     |103.9 MHz |FM |280 |ND  |-                   |A  |-  |LIC    |JENKINTOWN               |PA |US |BLH    -20070111AAX |0.27   kW |0.27   kW |338.0   |338.0   |30572      |N |40 |2  |29.60 |W |75  |14 |11.40 |RADIO ONE LICENSES, LLC                                                     |  65.64 km |  40.79 mi |247.75 deg |403.   m|403.0  m|-         |-       |1231524 |314.   m|1166306   |
|WPHI-FM     |103.9 MHz |FS |280 |ND  |-                   |A  |-  |LIC    |JENKINTOWN               |PA |US |BXLH   -20060921ACP |0.37   kW |0.37   kW |282.6   |282.6   |30572      |N |40 |2  |29.60 |W |75  |14 |11.40 |RADIO ONE LICENSES, LLC                                                     |  65.64 km |  40.79 mi |247.75 deg |348.   m|348.0  m|-         |-       |1231524 |259.   m|1176235   |
|WPHI-FM     |103.9 MHz |FA |280 |ND  |-                   |A  |-  |USE    |JENKINTOWN               |PA |US |-      --           |-      kW |-      kW |-       |-       |30572      |N |40 |2  |26.00 |W |75  |14 |20.00 |-                                                                           |  65.87 km |  40.93 mi |247.73 deg |-      m|-      m|-         |-       |-       |0.     m|295300    |
|W281BI      |104.1 MHz |FX |281 |DA  |-                   |D  |-  |LIC    |TRENTON                  |NJ |US |BLFT   -20160930ABF |0.     kW |0.25   kW |49.3    |0.0     |140324     |N |40 |16 |36.70 |W |74  |49 |33.80 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  25.70 km |  15.97 mi |272.59 deg |0.0    m|98.    m|16157     |130.    |1032826 |24.    m|1741127   |
|W228EH      |104.1 MHz |FX |281 |ND  |-                   |D  |-  |APP    |LAKEWOOD TOWNSHIP        |NJ |US |BPFT   -20181227ABB |0.225  kW |0.225  kW |0.0     |0.0     |202322     |N |39 |52 |31.00 |W |74  |9  |57.30 |TOWNSQUARE MEDIA MONMOUTH-OCEAN LICENSE, LLC                                |  53.15 km |  33.02 mi |144.88 deg |149.   m|149.0  m|134216    |-       |1047622 |144.   m|1797917   |
|WAXQ        |104.3 MHz |FM |282 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BLH    -19960426KA  |6.     kW |6.     kW |415.0   |415.0   |23004      |N |40 |44 |54.00 |W |73  |59 |10.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  70.28 km |  43.67 mi | 40.18 deg |429.   m|429.0  m|-         |-       |-       |413.   m|224050    |
|WAXQ        |104.3 MHz |FS |282 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXMLH  -20011114ABE |17.    kW |17.    kW |259.0   |259.0   |23004      |N |40 |45 |22.00 |W |73  |59 |12.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  70.91 km |  44.06 mi | 39.70 deg |274.   m|274.0  m|-         |-       |1065696 |259.   m|586992    |
|WAXQ        |104.3 MHz |FS |282 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20040715ABY |13.    kW |13.    kW |281.0   |281.0   |23004      |N |40 |45 |22.00 |W |73  |59 |12.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  70.91 km |  44.06 mi | 39.70 deg |297.   m|297.0  m|-         |-       |1238745 |281.   m|1002824   |
|WAXQ        |104.3 MHz |FS |282 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20171013AAW |7.1    kW |7.1    kW |386.7   |386.7   |23004      |N |40 |44 |53.60 |W |73  |59 |10.50 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1769189   |
|910430ME    |104.3 MHz |FA |282 |ND  |-                   |B  |-  |USE    |NEW YORK                 |NY |US |-      --           |-      kW |-      kW |-       |-       |11742      |N |40 |44 |54.00 |W |73  |59 |10.00 |-                                                                           |  70.28 km |  43.67 mi | 40.18 deg |-      m|-      m|-         |-       |-       |0.     m|295425    |
|WRFF        |104.5 MHz |FM |283 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BMLH   -20090513AAG |11.5   kW |11.5   kW |308.0   |308.0   |53969      |N |40 |2  |30.00 |W |75  |14 |24.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  65.91 km |  40.96 mi |247.86 deg |376.   m|376.0  m|-         |-       |1027110 |308.   m|1311744   |
|WRFF        |104.5 MHz |FS |283 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BMLH   -19880301KB  |11.    kW |11.    kW |308.0   |308.0   |53969      |N |40 |2  |30.00 |W |75  |14 |24.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  65.91 km |  40.96 mi |247.86 deg |376.   m|376.0  m|-         |-       |-       |308.   m|109864    |
|WRFF        |104.5 MHz |FA |283 |ND  |-                   |B  |-  |USE    |PHILADELPHIA             |PA |US |-      --           |-      kW |-      kW |-       |-       |53969      |N |40 |2  |30.00 |W |75  |14 |24.00 |-                                                                           |  65.91 km |  40.96 mi |247.86 deg |-      m|-      m|-         |-       |-       |0.     m|295471    |
|WJUI-LP     |104.7 MHz |FL |284 |ND  |-                   |L1 |-  |LIC    |RAMTOWN                  |NJ |US |BLL    -20161220ABW |0.1    kW |0.1    kW |0.0     |0.0     |196115     |N |40 |4  |58.00 |W |74  |6  |22.00 |AMERICAN CNTR FOR CIVIL JUSTICE,RELIGIOUS LIBERTY&TOLERANCE                 |  41.06 km |  25.51 mi |119.81 deg |39.    m|0.0    m|-         |-       |-       |17.    m|1747137   |
|W264BT      |104.7 MHz |FX |284 |DA  |-                   |D  |-  |APP    |FRANKLIN TOWNSHIP        |NJ |US |BPFT   -20160728AFS |0.1    kW |0.1    kW |0.0     |0.0     |143711     |N |40 |28 |44.60 |W |74  |28 |30.40 |RAHUL WALIA                                                                 |  23.93 km |  14.87 mi |  9.98 deg |170.   m|170.0  m|125836    |0.      |1062421 |140.   m|1740474   |
|W284AQ      |104.7 MHz |FX |284 |DA  |-                   |D  |-  |LIC    |HACKETTSTOWN             |NJ |US |BLFT   -20170309ABK |0.25   kW |0.25   kW |0.0     |0.0     |54698      |N |40 |51 |19.00 |W |74  |46 |42.00 |WRNJ RADIO, INC.                                                            |  68.79 km |  42.75 mi |341.92 deg |392.   m|392.0  m|126635    |0.      |1202687 |63.    m|1752791   |
|NEW         |104.7 MHz |FX |284 |DA  |-                   |D  |-  |APP    |SOMERSET                 |NJ |US |BNPFT  -20180130ADV |0.1    kW |0.1    kW |0.0     |0.0     |202303     |N |40 |28 |45.00 |W |74  |28 |30.00 |EBC MUSIC, INC.                                                             |  23.94 km |  14.88 mi | 10.00 deg |170.   m|170.0  m|131303    |0.      |-       |140.   m|1776444   |
|NEW         |104.7 MHz |FX |284 |DA  |-                   |D  |-  |APP    |SOMERSET                 |NJ |US |BNPFT  -20180420AAS |0.1    kW |0.1    kW |0.0     |0.0     |202303     |N |40 |28 |45.00 |W |74  |28 |30.00 |EBC MUSIC, INC.                                                             |  23.94 km |  14.88 mi | 10.00 deg |169.   m|169.0  m|132433    |0.      |1062421 |139.   m|1782334   |
|W284BW      |104.7 MHz |FX |284 |DA  |-                   |D  |-  |LIC    |NEW YORK                 |NY |US |BLFT   -20180723AAH |0.099  kW |0.099  kW |0.0     |0.0     |143664     |N |40 |42 |46.00 |W |74  |0  |49.00 |RAHUL WALIA                                                                 |  65.77 km |  40.87 mi | 40.89 deg |430.   m|430.0  m|133263    |0.      |1263701 |426.   m|1788822   |
|W284BW      |104.7 MHz |FX |284 |DA  |-                   |D  |-  |APP    |NEW YORK                 |NY |US |BPFT   -20180912AAZ |0.099  kW |0.099  kW |0.0     |0.0     |143664     |N |40 |42 |46.00 |W |74  |0  |49.00 |RAHUL WALIA                                                                 |  65.77 km |  40.87 mi | 40.89 deg |430.   m|430.0  m|133650    |0.      |1263701 |426.   m|1791836   |
|WJRH        |104.9 MHz |FM |285 |ND  |-                   |D  |-  |LIC    |EASTON                   |PA |US |BLED   -19920817KA  |0.008  kW |0.008  kW |7.0     |7.0     |36224      |N |40 |41 |53.00 |W |75  |12 |30.00 |LAFAYETTE COLLEGE                                                           |  75.22 km |  46.74 mi |309.87 deg |135.   m|135.0  m|-         |-       |-       |28.    m|176202    |
|W285EW      |104.9 MHz |FX |285 |DA  |-                   |D  |-  |LIC    |LANSDALE                 |PA |US |BLFT   -20161014ACD |0.05   kW |0.05   kW |0.0     |0.0     |153106     |N |40 |14 |18.00 |W |75  |19 |0.00  |FOUR RIVERS COMMUNITY BROADCASTING CORP.                                    |  67.50 km |  41.94 mi |267.56 deg |152.   m|152.0  m|123101    |80.     |-       |51.    m|1742131   |
|W285FF      |104.9 MHz |FX |285 |DA  |-                   |D  |-  |LIC    |PHILADELPHIA             |PA |US |BLFT   -20170228AAN |0.099  kW |0.099  kW |0.0     |0.0     |141529     |N |39 |57 |4.60  |W |75  |9  |38.40 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  64.59 km |  40.14 mi |237.25 deg |151.   m|151.0  m|123582    |355.    |1030627 |139.   m|1752059   |
|WWPR-FM     |105.1 MHz |FM |286 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BLH    -19940204KB  |6.     kW |6.     kW |415.0   |415.0   |6373       |N |40 |44 |54.00 |W |73  |59 |10.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  70.28 km |  43.67 mi | 40.18 deg |429.   m|429.0  m|-         |-       |-       |413.   m|194657    |
|WWPR-FM     |105.1 MHz |FS |286 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXMLH  -20011114ABG |17.    kW |17.    kW |259.0   |259.0   |6373       |N |40 |45 |22.00 |W |73  |59 |12.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  70.91 km |  44.06 mi | 39.70 deg |274.   m|274.0  m|-         |-       |1065696 |259.   m|587217    |
|WWPR-FM     |105.1 MHz |FS |286 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20040714ABE |13.    kW |13.    kW |281.0   |281.0   |6373       |N |40 |45 |22.00 |W |73  |59 |12.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  70.91 km |  44.06 mi | 39.70 deg |297.   m|297.0  m|-         |-       |1238745 |281.   m|1005073   |
|WWPR-FM     |105.1 MHz |FS |286 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20171013ABB |7.1    kW |7.1    kW |386.7   |386.7   |6373       |N |40 |44 |53.60 |W |73  |59 |10.50 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1769181   |
|WWPR-FM     |105.1 MHz |FA |286 |ND  |-                   |B  |-  |USE    |NEW YORK                 |NY |US |-      --           |-      kW |-      kW |-       |-       |6373       |N |40 |44 |54.00 |W |73  |59 |10.00 |-                                                                           |  70.28 km |  43.67 mi | 40.18 deg |-      m|-      m|-         |-       |-       |0.     m|295762    |
|WDAS-FM     |105.3 MHz |FM |287 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BLH    -19930208KK  |16.5   kW |16.5   kW |266.0   |266.0   |71316      |N |40 |2  |30.00 |W |75  |14 |24.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  65.91 km |  40.96 mi |247.86 deg |334.   m|334.0  m|-         |-       |-       |267.   m|181766    |
|WDAS-FM     |105.3 MHz |FS |287 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BXMLH  -20030731AIX |42.    kW |42.    kW |266.0   |266.0   |71316      |N |40 |2  |30.00 |W |75  |14 |24.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  65.91 km |  40.96 mi |247.86 deg |334.   m|334.0  m|-         |-       |1027110 |267.   m|675817    |
|WDAS-FM     |105.3 MHz |FA |287 |ND  |-                   |B  |-  |USE    |PHILADELPHIA             |PA |US |-      --           |-      kW |-      kW |-       |-       |71316      |N |40 |2  |30.00 |W |75  |14 |24.00 |-                                                                           |  65.91 km |  40.96 mi |247.86 deg |-      m|-      m|-         |-       |-       |0.     m|295839    |
|WDHA-FM     |105.5 MHz |FM |288 |ND  |-                   |A  |-  |LIC    |DOVER                    |NJ |US |BMLH   -20161107ACI |1.     kW |1.     kW |175.0   |175.0   |49587      |N |40 |51 |21.00 |W |74  |30 |42.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  65.41 km |  40.65 mi |  0.92 deg |354.   m|354.0  m|-         |-       |-       |39.    m|1743640   |
|WDHA-FM     |105.5 MHz |FS |288 |ND  |-                   |A  |-  |LIC    |DOVER                    |NJ |US |BXLH   -20020920ABT |1.     kW |1.     kW |171.0   |171.0   |49587      |N |40 |51 |19.00 |W |74  |30 |42.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  65.35 km |  40.61 mi |  0.93 deg |350.   m|350.0  m|-         |-       |-       |35.    m|612941    |
|WDHA-FM     |105.5 MHz |FA |288 |ND  |-                   |A  |-  |USE    |DOVER                    |NJ |US |-      --           |-      kW |-      kW |-       |-       |49587      |N |40 |51 |19.00 |W |74  |30 |42.00 |-                                                                           |  65.35 km |  40.61 mi |  0.93 deg |-      m|-      m|-         |-       |-       |0.     m|295949    |
|W288DS      |105.5 MHz |FX |288 |DA  |-                   |D  |-  |CP     |EASTON                   |PA |US |BNPFT  -20171220ACQ |0.015  kW |0.015  kW |0.0     |0.0     |201440     |N |40 |40 |23.00 |W |75  |12 |29.00 |WHOL RADIO INC.                                                             |  73.47 km |  45.65 mi |308.21 deg |161.   m|161.0  m|130606    |345.    |-       |48.    m|1774727   |
|WCHR-FM     |105.7 MHz |FM |289 |DA  |-                   |B1 |-  |LIC    |MANAHAWKIN               |NJ |US |BMLH   -20061128APC |13.    kW |13.    kW |140.0   |140.0   |24934      |N |39 |42 |56.00 |W |74  |17 |31.00 |TOWNSQUARE MEDIA MONMOUTH-OCEAN LICENSE, LLC                                |  64.35 km |  39.98 mi |162.03 deg |158.   m|158.0  m|15889     |0.      |1038028 |140.   m|1161809   |
|WCHR-FM     |105.7 MHz |FM |289 |DA  |-                   |B1 |-  |CP     |MANAHAWKIN               |NJ |US |BPH    -20161026AAU |12.    kW |12.    kW |144.0   |144.0   |24934      |N |39 |52 |31.00 |W |74  |9  |57.00 |TOWNSQUARE MEDIA MONMOUTH-OCEAN LICENSE, LLC                                |  53.15 km |  33.03 mi |144.88 deg |154.   m|154.0  m|126110    |0.      |1047622 |149.   m|1742344   |
|WCHR-FM     |105.7 MHz |FM |289 |DA  |-                   |B1 |-  |APP    |MANAHAWKIN               |NJ |US |BMPH   -20181203AAS |13.    kW |13.    kW |139.0   |139.0   |24934      |N |39 |52 |31.00 |W |74  |9  |57.00 |TOWNSQUARE MEDIA MONMOUTH-OCEAN LICENSE, LLC                                |  53.15 km |  33.03 mi |144.88 deg |149.   m|149.0  m|134111    |0.      |1047622 |144.   m|1795980   |
|900116MS    |105.7 MHz |FA |289 |ND  |-                   |B1 |-  |USE    |MANAHAWKIN               |NJ |US |-      --           |-      kW |-      kW |-       |-       |3141       |N |39 |43 |30.00 |W |74  |7  |40.00 |-                                                                           |  69.03 km |  42.90 mi |150.60 deg |-      m|-      m|-         |-       |-       |0.     m|291395    |
|W289AZ      |105.7 MHz |FX |289 |DA  |-                   |D  |-  |LIC    |CAMDEN                   |NJ |US |BLFT   -20150713ACM |0.25   kW |0.25   kW |0.0     |0.0     |141522     |N |39 |57 |28.00 |W |75  |6  |54.00 |MEGA-PHILADELPHIA LLC                                                       |  60.95 km |  37.87 mi |235.82 deg |63.    m|63.0   m|121417    |0.      |1057852 |60.    m|1726327   |
|W289CR      |105.7 MHz |FX |289 |DA  |-                   |D  |-  |LIC    |GLEN GARDNER             |NJ |US |BLFT   -20180925ABW |0.218  kW |0.218  kW |0.0     |0.0     |202425     |N |40 |41 |30.50 |W |74  |55 |29.60 |WRNJ RADIO, INC.                                                            |  58.15 km |  36.13 mi |324.48 deg |348.   m|348.0  m|133541    |0.      |-       |43.    m|1792831   |
|WEMA-LP     |105.7 MHz |FL |289 |ND  |-                   |L1 |-  |LIC    |MARLBOROUGH              |PA |US |BLL    -20170202ABM |0.024  kW |0.024  kW |61.2    |0.0     |195840     |N |40 |20 |33.00 |W |75  |27 |31.00 |COUNTY OF MONTGOMERY                                                        |  79.88 km |  49.64 mi |276.36 deg |179.   m|0.0    m|-         |-       |-       |45.    m|1750482   |
|WEMZ-LP     |105.7 MHz |FL |289 |ND  |-                   |L1 |-  |LIC    |PLYMOUTH                 |PA |US |BLL    -20170206ABJ |0.024  kW |0.024  kW |60.7    |0.0     |195843     |N |40 |7  |11.00 |W |75  |17 |55.00 |COUNTY OF MONTGOMERY                                                        |  67.94 km |  42.21 mi |256.28 deg |140.   m|0.0    m|-         |-       |-       |42.    m|1750485   |
|WQXR-FM     |105.9 MHz |FM |290 |ND  |-                   |B1 |-  |LIC    |NEWARK                   |NJ |US |BMLH   -20091009AAI |0.61   kW |0.61   kW |416.0   |416.0   |46978      |N |40 |44 |54.00 |W |73  |59 |10.00 |NEW YORK PUBLIC RADIO                                                       |  70.28 km |  43.67 mi | 40.18 deg |430.   m|430.0  m|-         |-       |1007048 |415.   m|1337601   |
|WQXR-FM     |105.9 MHz |FS |290 |ND  |-                   |B1 |-  |LIC    |NEWARK                   |NJ |US |BMLH   -19970327KB  |1.59   kW |1.59   kW |220.0   |220.0   |46978      |N |40 |45 |4.00  |W |73  |58 |37.00 |NEW YORK PUBLIC RADIO                                                       |  71.02 km |  44.13 mi | 40.49 deg |234.   m|234.0  m|-         |-       |-       |219.   m|676849    |
|WQXR-FM     |105.9 MHz |FS |290 |ND  |-                   |B1 |-  |LIC    |NEWARK                   |NJ |US |BXLH   -20050920AEH |1.     kW |0.87   kW |283.0   |283.0   |46978      |N |40 |45 |22.00 |W |73  |59 |12.00 |NEW YORK PUBLIC RADIO                                                       |  70.91 km |  44.06 mi | 39.70 deg |298.   m|298.0  m|-         |-       |1238745 |283.   m|1084703   |
|WQXR-FM     |105.9 MHz |FS |290 |ND  |-                   |B1 |-  |LIC    |NEWARK                   |NJ |US |BXLH   -20171011AAT |0.71   kW |0.71   kW |386.7   |386.7   |46978      |N |40 |44 |53.60 |W |73  |59 |10.50 |NEW YORK PUBLIC RADIO                                                       |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1768960   |
|820503AS    |105.9 MHz |FA |290 |ND  |-                   |B1 |-  |USE    |NEWARK                   |NJ |US |-      --           |-      kW |-      kW |-       |-       |776        |N |40 |44 |12.00 |W |74  |10 |18.00 |-                                                                           |  60.12 km |  37.36 mi | 29.59 deg |-      m|-      m|-         |-       |-       |0.     m|288801    |
|WISX        |106.1 MHz |FM |291 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BMLH   -19850405KC  |22.5   kW |22.5   kW |226.0   |226.0   |53973      |N |40 |4  |58.00 |W |75  |10 |54.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  59.61 km |  37.04 mi |250.09 deg |291.   m|291.0  m|-         |-       |-       |166.   m|77438     |
|WISX        |106.1 MHz |FS |291 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BXLH   -20031211ABQ |4.6    kW |4.6    kW |218.0   |218.0   |53973      |N |40 |4  |57.00 |W |75  |10 |53.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  59.60 km |  37.03 mi |250.05 deg |283.   m|283.0  m|-         |-       |1025525 |158.   m|710774    |
|WISX        |106.1 MHz |FS |291 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BXLH   -20071009AIK |17.5   kW |17.5   kW |173.0   |173.0   |53973      |N |40 |2  |36.60 |W |75  |14 |32.30 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  66.02 km |  41.02 mi |248.09 deg |239.   m|239.0  m|-         |-       |1026707 |158.   m|1209199   |
|WISX        |106.1 MHz |FA |291 |ND  |-                   |B  |-  |USE    |PHILADELPHIA             |PA |US |-      --           |-      kW |-      kW |-       |-       |53973      |N |40 |4  |58.00 |W |75  |10 |54.00 |-                                                                           |  59.61 km |  37.04 mi |250.09 deg |-      m|-      m|-         |-       |-       |0.     m|296171    |
|WKMK        |106.3 MHz |FM |292 |ND  |-                   |A  |-  |LIC    |EATONTOWN                |NJ |US |BMLH   -20060524ABV |1.1    kW |1.1    kW |161.0   |161.0   |72324      |N |40 |16 |41.00 |W |74  |4  |51.00 |PRESS COMMUNICATIONS, LLC                                                   |  37.73 km |  23.45 mi | 87.96 deg |181.4  m|181.4  m|-         |-       |1237989 |155.4  m|1130562   |
